id_tempat_wisata,kabupaten,nama_tempat_wisata,rating,kategori,jumlah_ulasan,latitude,longitude,google_maps_link,,,,,,,,,,,,
1e7c0,Kota Yogyakarta,Dewa Bromo - Desa Wisata Bromonilan,4.6,Wisata Buatan,126,-7.7443988,110.446404,https://www.google.com/maps/search/Dewa%20Bromo%20-%20Desa%20Wisata%20Bromonilan,,,,,,,,,,,,
7f380,Gunungkidul,Djumbidi keluarga,5,Wisata Buatan,5,-7.8624582,110.4904404,https://www.google.com/maps/search/Djumbidi%20keluarga,,,,,,,,,,,,
9.00E+970,Gunungkidul,Dodogan Cultural Tourism,4.2,Wisata Budaya dan Sejarah,191,-7.926687,110.4825668,https://www.google.com/maps/search/Dodogan%20Cultural%20Tourism,,,,,,,,,,,,
b1760,Kota Yogyakarta,D'Walik,4.5,Wisata Budaya dan Sejarah,596,-7.8163681,110.3866164,https://www.google.com/maps/search/D%27Walik,,,,,,,,,,,,
f8950,Bantul,Eco Park Sriharjo,4.5,Wisata Alam,174,-7.9449846,110.4175478,https://www.google.com/maps/search/Eco%20Park%20Sriharjo,,,,,,,,,,,,
6f450,Bantul,Ecotourism Jatisari Seropan 3,4.3,Wisata Alam,151,-7.9436686,110.4440412,https://www.google.com/maps/search/Ecotourism%20Jatisari%20Seropan%203,,,,,,,,,,,,
e2080,Sleman,Ekowisata Nologaten,5,Wisata Alam,101,-7.7748937,110.3988399,https://www.google.com/maps/search/Ekowisata%20Nologaten,,,,,,,,,,,,
b8060,Kulon Progo,Ekowisata Sungai Mudal,4.7,Wisata Alam,9235,-7.7628136,110.1161626,https://www.google.com/maps/search/Ekowisata%20Sungai%20Mudal,,,,,,,,,,,,
be2c0,Bantul,Embung Bangeran,5,Wisata Buatan,9,-7.7923528,110.3962255,https://www.google.com/maps/search/Embung%20Bangeran,,,,,,,,,,,,
0fe60,Gunungkidul,Embung Batara Sriten,4.5,Wisata Alam,2134,-7.8321113,110.633017,https://www.google.com/maps/search/Embung%20Batara%20Sriten,,,,,,,,,,,,
